timestamp,pm25,prev_pm25,next_pm25,aqi_category
2025-01-21T13:30:00.000Z,124.0,124.0,161.0,Unhealthy for Sensitive Groups
2025-01-21T14:30:00.000Z,161.0,124.0,161.0,Unhealthy
2025-01-21T14:30:00.000Z,161.0,161.0,176.0,Unhealthy
2025-01-21T15:30:00.000Z,176.0,161.0,176.0,Unhealthy
2025-01-21T15:30:00.000Z,176.0,176.0,170.0,Unhealthy
2025-01-21T16:30:00.000Z,170.0,176.0,170.0,Unhealthy
2025-01-21T16:30:00.000Z,170.0,170.0,156.0,Unhealthy
2025-01-21T17:30:00.000Z,156.0,170.0,156.0,Unhealthy
2025-01-21T17:30:00.000Z,156.0,156.0,160.0,Unhealthy
2025-01-21T18:30:00.000Z,160.0,156.0,160.0,Unhealthy
2025-01-21T18:30:00.000Z,160.0,160.0,,Unhealthy
